user_id,text,age,gender,language,self_estimation_german,career_path,field,grade_german,grade_math,academic,label
1,Es sind zwei Fächer zu wählen.,17,female,german,1,college,other,1,4,True,1
1,"Die Biochemie (physiologische Chemie) erforscht die chemische Zusammensetzung pflanzlicher und tierischer Körper, die in ihnen ablaufenden chemischen Prozesse sowie die Veränderungen durch Krankheiten.",17,female,german,1,college,other,1,4,True,4
1,Ein Vollstudium der Architektur ist in Hamburg auch an der Hochschule für bildende Künste möglich.,17,female,german,1,college,other,1,4,True,1
1,"Dabei gibt es vor allem mit Verfahrenstechnik/Chemieingenieurwesen (6.64) zahlreiche Berührungspunkte und Überschneidungen, ebenso auch mit der Fertigungstechnik (6.31).",17,female,german,1,college,other,1,4,True,2
1,"Die Kunststofftechnik befasst sich mit der Herstellung, Verarbeitung und Anwendung von Kunststoffen (einschließlich dem Gummirohstoff Kautschuk) und den dabei benutzten Maschinen und Geräten.",17,female,german,1,college,other,1,4,True,1
1,Im Fachhochschulsektor liegt der Hauptanteil mit 31 % bei der Landespflege/Landschaftsarchitektur und Landschaftsgestaltung.,17,female,german,1,college,other,1,4,True,3
1,"Lehrangebote gibt es darüber hinaus auch in bestimmten Fächern der Lehrerausbildung und der Erziehungswissenschaften, wie z.B. Medienpädagogik.",17,female,german,1,college,other,1,4,True,2
1,Bei der Wahl der Fächerkombinationen kann Sozialkunde nicht mit Geschichte oder Erdkunde verbunden werden.,17,female,german,1,college,other,1,4,True,1
1,Speziell geht es hier um die Auswirkungen menschlichen Tuns auf die Natur und wie Schäden vermieden bzw. behoben werden können.,17,female,german,1,college,other,1,4,True,1
1,"Diese Aufgabe ist umfangreich und schwierig, denn moderne Seeschiffe sind praktisch schwimmende Kraftwerke.",17,female,german,1,college,other,1,4,True,2
1,Bei Mißerfolg kann des Kontrollverfahren innerhalb eines Jahres einmal wiederholt werden.,17,female,german,1,college,other,1,4,True,1
1,"Sie beleuchtet sein Denken und seine Stellung in der Welt, hinterfragt sein Handeln und diskutiert seine Probleme.",17,female,german,1,college,other,1,4,True,3
1,Der Fachhochschulabsolvent in Schiffsbetriebstechnik beginnt regelmäßig als II. oder III. Ingenieur an Bord.,17,female,german,1,college,other,1,4,True,1
1,Die Geophysik befasst sich mit der Physik (3.3.9) der Erde und ihres Magnetfeldes sowie den Einwirkungen aus dem Weltraum auf den Planeten Erde.,17,female,german,1,college,other,1,4,True,1
1,An den meisten Hochschulen wird außerdem zum Nachweis der sportlichen Leistungsfähigkeit eine Eingangsprüfung vorgenommen.,17,female,german,1,college,other,1,4,True,1
1,"Während beim Hochschulstudium die wissenschaftlichen Grundlagen und Methoden der Chemie und ihrer Anwendungen in der chemischen Industrie im Vordergrund stehen, ist der Studiengang Chemie oder technische Chemie an Fachhochschulen überwiegend darauf ausgerichtet, zur eigenständigen Mitarbeit im Labor bzw. im produktions- und betriebstechnischen Bereich zu befähigen.",17,female,german,1,college,other,1,4,True,3
1,"Staatliche Prüfung: für Musikerzieher (Privatmusiklehrer, Lehrer an Musikschulen) nach mindestens 6 Semestern.",17,female,german,1,college,other,1,4,True,4
1,"Wird Musik oder Kunst und Gestaltung als gekoppeltes Fach gewählt, erübrigt sich die Wahl eines Beifachs.",17,female,german,1,college,other,1,4,True,2
1,"Praktikum während des Studiums: 2 je vierwöchige Praktika, davon mindestens eines an einem Gymnasium.",17,female,german,1,college,other,1,4,True,1
1,"Das Studium ist dem der Elektrotechnik (6.10), des Maschinenbaus (6.33) und der Informatik (6.23) verwandt.",17,female,german,1,college,other,1,4,True,2
2,"Diese Aufgabe ist umfangreich und schwierig, denn moderne Seeschiffe sind praktisch schwimmende Kraftwerke.",16,female,german_and_another_language,2,vocational,social_sciences,6,5,True,1
2,"Während beim Hochschulstudium die wissenschaftlichen Grundlagen und Methoden der Chemie und ihrer Anwendungen in der chemischen Industrie im Vordergrund stehen, ist der Studiengang Chemie oder technische Chemie an Fachhochschulen überwiegend darauf ausgerichtet, zur eigenständigen Mitarbeit im Labor bzw. im produktions- und betriebstechnischen Bereich zu befähigen.",16,female,german_and_another_language,2,vocational,social_sciences,6,5,True,1
2,"Die Biochemie (physiologische Chemie) erforscht die chemische Zusammensetzung pflanzlicher und tierischer Körper, die in ihnen ablaufenden chemischen Prozesse sowie die Veränderungen durch Krankheiten.",16,female,german_and_another_language,2,vocational,social_sciences,6,5,True,1
2,Das Studium an einer Hochschule kann - neben dem eigenständigen Studiengang - auch von einem der naturwissenschaftlichen oder technischen Grundlagenfächer her begonnen und später auf den Schwerpunkt Hüttenwesen/Hüttentechnik konzentriert werden.,16,female,german_and_another_language,2,vocational,social_sciences,6,5,True,1
2,Bei Eventmanagement sowie Hotel- und Tourismusmanagement kann ein Nachweis über Englischkenntnisse verlangt werden.,16,female,german_and_another_language,2,vocational,social_sciences,6,5,True,1
2,"Die Kunststofftechnik befasst sich mit der Herstellung, Verarbeitung und Anwendung von Kunststoffen (einschließlich dem Gummirohstoff Kautschuk) und den dabei benutzten Maschinen und Geräten.",16,female,german_and_another_language,2,vocational,social_sciences,6,5,True,1
2,"Auch Theater, Film und Fernsehen sowie Kunst und Musik sind von Interesse.",16,female,german_and_another_language,2,vocational,social_sciences,6,5,True,1
2,"Geowissenschaftler/-innen sind gefragte Experten in der Rohstoffgewinnung, im Umweltschutz, in der Abfalllagerung sowie in der Stadt- und Regionalplanung.",16,female,german_and_another_language,2,vocational,social_sciences,6,5,True,1
2,Hauptstudium: Im zweiten Studienabschnitt lassen sich dann Schwerpunkte bilden: Gießereitechnik oder Werkstofftechnik.,16,female,german_and_another_language,2,vocational,social_sciences,6,5,True,1
2,Im Fachhochschulsektor liegt der Hauptanteil mit 31 % bei der Landespflege/Landschaftsarchitektur und Landschaftsgestaltung.,16,female,german_and_another_language,2,vocational,social_sciences,6,5,True,3
2,In allen Fächern der Fächergruppe ist die Zahl der Arbeitslosen - dem allgemeinen Trend entsprechend - zurückgegangen.,16,female,german_and_another_language,2,vocational,social_sciences,6,5,True,1
2,Im Bereich der Technischen Universitäten und Hochschulen gibt es keinen eigenständigen Studiengang für Produktions- und Fertigungstechnik.,16,female,german_and_another_language,2,vocational,social_sciences,6,5,True,1
2,Bei Mißerfolg kann des Kontrollverfahren innerhalb eines Jahres einmal wiederholt werden.,16,female,german_and_another_language,2,vocational,social_sciences,6,5,True,4
2,Auch eine selbstständige Tätigkeit z.B. im Vertrieb oder in der Beratung ist möglich.,16,female,german_and_another_language,2,vocational,social_sciences,6,5,True,1
2,"Das Studium findet an Universitäten oder Pädagogischen Hochschulen (nur Baden-Württemberg) statt, für musisch-künstlerische Fächer auch an Kunst- und Musikhochschulen.",16,female,german_and_another_language,2,vocational,social_sciences,6,5,True,1
2,"Alle diese Studiengänge und -fächer bereiten auf eine berufliche Tätigkeit in den Bereichen Hörfunk, Fernsehen, Video, Film, Fotografie und Printmedien vor.",16,female,german_and_another_language,2,vocational,social_sciences,6,5,True,2
2,"Dabei gibt es vor allem mit Verfahrenstechnik/Chemieingenieurwesen (6.64) zahlreiche Berührungspunkte und Überschneidungen, ebenso auch mit der Fertigungstechnik (6.31).",16,female,german_and_another_language,2,vocational,social_sciences,6,5,True,3
2,Es sind zwei Fächer zu wählen.,16,female,german_and_another_language,2,vocational,social_sciences,6,5,True,1
2,"Lehrangebote gibt es darüber hinaus auch in bestimmten Fächern der Lehrerausbildung und der Erziehungswissenschaften, wie z.B. Medienpädagogik.",16,female,german_and_another_language,2,vocational,social_sciences,6,5,True,1
2,Ein Vollstudium der Architektur ist in Hamburg auch an der Hochschule für bildende Künste möglich.,16,female,german_and_another_language,2,vocational,social_sciences,6,5,True,3
3,Im Fachhochschulsektor liegt der Hauptanteil mit 31 % bei der Landespflege/Landschaftsarchitektur und Landschaftsgestaltung.,17,female,german,1,college,social_sciences,3,4,True,2
3,"Lehrangebote gibt es darüber hinaus auch in bestimmten Fächern der Lehrerausbildung und der Erziehungswissenschaften, wie z.B. Medienpädagogik.",17,female,german,1,college,social_sciences,3,4,True,1
3,In allen Fächern der Fächergruppe ist die Zahl der Arbeitslosen - dem allgemeinen Trend entsprechend - zurückgegangen.,17,female,german,1,college,social_sciences,3,4,True,1
3,Auch eine selbstständige Tätigkeit z.B. im Vertrieb oder in der Beratung ist möglich.,17,female,german,1,college,social_sciences,3,4,True,1
3,Hauptstudium: Im zweiten Studienabschnitt lassen sich dann Schwerpunkte bilden: Gießereitechnik oder Werkstofftechnik.,17,female,german,1,college,social_sciences,3,4,True,1
3,"Diese Aufgabe ist umfangreich und schwierig, denn moderne Seeschiffe sind praktisch schwimmende Kraftwerke.",17,female,german,1,college,social_sciences,3,4,True,1
